20/07/2023 08:14:10 | Info | User | Fropops-20828877-ef61-4bf2-8ad9-3023d7036401 |  | Connexion to TeamServer
20/07/2023 09:51:18 | Info | User | Fropops-9ec8a441-c916-4390-bc43-6ca300f10b4a |  | Connexion to TeamServer
20/07/2023 09:51:19 | Info | User | Fropops-9ec8a441-c916-4390-bc43-6ca300f10b4a |  | Connexion to TeamServer
20/07/2023 09:51:26 | Info | User | Fropops-9ec8a441-c916-4390-bc43-6ca300f10b4a | 5e013048fa | Command tasked to agent : Job
20/07/2023 09:51:40 | Info | User | Fropops-9ec8a441-c916-4390-bc43-6ca300f10b4a | 5e013048fa | Command tasked to agent : Shell
20/07/2023 09:57:03 | Info | User | Fropops-b2e5ecb6-c6cf-4429-bde4-793f14f334f8 |  | Connexion to TeamServer
20/07/2023 09:57:04 | Info | User | Fropops-b2e5ecb6-c6cf-4429-bde4-793f14f334f8 |  | Connexion to TeamServer
20/07/2023 09:57:19 | Info | User | Fropops-b2e5ecb6-c6cf-4429-bde4-793f14f334f8 | 17578c36de | Command tasked to agent : Job
20/07/2023 09:57:30 | Info | User | Fropops-b2e5ecb6-c6cf-4429-bde4-793f14f334f8 | 17578c36de | Command tasked to agent : Shell
20/07/2023 09:57:33 | Info | User | Fropops-b2e5ecb6-c6cf-4429-bde4-793f14f334f8 | 17578c36de | Command tasked to agent : Job
20/07/2023 09:58:52 | Info | User | Fropops-8ba12a91-e565-471c-adb3-8366e83b5560 |  | Connexion to TeamServer
20/07/2023 09:58:53 | Info | User | Fropops-8ba12a91-e565-471c-adb3-8366e83b5560 |  | Connexion to TeamServer
20/07/2023 09:58:56 | Info | User | Fropops-8ba12a91-e565-471c-adb3-8366e83b5560 | 5e01334b38 | Command tasked to agent : Job
20/07/2023 09:59:04 | Info | User | Fropops-8ba12a91-e565-471c-adb3-8366e83b5560 | 5e01334b38 | Command tasked to agent : Shell
20/07/2023 09:59:15 | Info | User | Fropops-8ba12a91-e565-471c-adb3-8366e83b5560 | 5e01334b38 | Command tasked to agent : Job
20/07/2023 09:59:23 | Info | User | Fropops-8ba12a91-e565-471c-adb3-8366e83b5560 | 5e01334b38 | Command tasked to agent : Job
20/07/2023 09:59:33 | Info | User | Fropops-8ba12a91-e565-471c-adb3-8366e83b5560 | 5e01334b38 | Command tasked to agent : Shell
20/07/2023 09:59:36 | Info | User | Fropops-8ba12a91-e565-471c-adb3-8366e83b5560 | 5e01334b38 | Command tasked to agent : Job
20/07/2023 09:59:41 | Info | User | Fropops-8ba12a91-e565-471c-adb3-8366e83b5560 | 5e01334b38 | Command tasked to agent : Shell
20/07/2023 09:59:44 | Info | User | Fropops-8ba12a91-e565-471c-adb3-8366e83b5560 | 5e01334b38 | Command tasked to agent : Job
20/07/2023 10:04:48 | Info | User | Fropops-d5a10d1b-02af-4b8e-8cc2-b62ade00169a |  | Connexion to TeamServer
20/07/2023 10:04:49 | Info | User | Fropops-d5a10d1b-02af-4b8e-8cc2-b62ade00169a |  | Connexion to TeamServer
20/07/2023 10:05:14 | Info | User | Fropops-d5a10d1b-02af-4b8e-8cc2-b62ade00169a | b4c553062b | Command tasked to agent : Job
20/07/2023 10:05:33 | Info | User | Fropops-d5a10d1b-02af-4b8e-8cc2-b62ade00169a | b4c553062b | Command tasked to agent : Shell
20/07/2023 10:05:37 | Info | User | Fropops-d5a10d1b-02af-4b8e-8cc2-b62ade00169a | b4c553062b | Command tasked to agent : Shell
20/07/2023 10:05:52 | Info | User | Fropops-d5a10d1b-02af-4b8e-8cc2-b62ade00169a | b4c553062b | Command tasked to agent : Job
20/07/2023 10:06:05 | Info | User | Fropops-d5a10d1b-02af-4b8e-8cc2-b62ade00169a | b4c553062b | Command tasked to agent : Job
20/07/2023 10:08:36 | Info | User | Fropops-d5a10d1b-02af-4b8e-8cc2-b62ade00169a | b4c553062b | Command tasked to agent : Shell
20/07/2023 10:08:55 | Info | User | Fropops-d5a10d1b-02af-4b8e-8cc2-b62ade00169a | b4c553062b | Command tasked to agent : Shell
20/07/2023 10:11:03 | Info | User | Fropops-d5a10d1b-02af-4b8e-8cc2-b62ade00169a | b4c553062b | Command tasked to agent : Shell
20/07/2023 10:11:04 | Info | User | Fropops-d5a10d1b-02af-4b8e-8cc2-b62ade00169a | b4c553062b | Command tasked to agent : Job
20/07/2023 10:11:35 | Info | User | Fropops-d5a10d1b-02af-4b8e-8cc2-b62ade00169a | b4c553062b | Command tasked to agent : Job
20/07/2023 10:35:18 | Info | User | Fropops-f0ecab94-43f7-4dbb-af30-1b1343ca52a5 |  | Connexion to TeamServer
20/07/2023 10:35:19 | Info | User | Fropops-f0ecab94-43f7-4dbb-af30-1b1343ca52a5 |  | Connexion to TeamServer
20/07/2023 10:35:42 | Info | User | Fropops-f0ecab94-43f7-4dbb-af30-1b1343ca52a5 | 6be77e318b | Command tasked to agent : Shell
20/07/2023 10:35:52 | Info | User | Fropops-f0ecab94-43f7-4dbb-af30-1b1343ca52a5 | 6be77e318b | Command tasked to agent : Job
20/07/2023 10:36:07 | Info | User | Fropops-f0ecab94-43f7-4dbb-af30-1b1343ca52a5 | 6be77e318b | Command tasked to agent : Job
20/07/2023 10:38:02 | Info | User | Fropops-4eaf0669-fbc3-466e-8b2d-32a744cd3d45 |  | Connexion to TeamServer
20/07/2023 10:38:03 | Info | User | Fropops-4eaf0669-fbc3-466e-8b2d-32a744cd3d45 |  | Connexion to TeamServer
20/07/2023 10:38:21 | Info | User | Fropops-4eaf0669-fbc3-466e-8b2d-32a744cd3d45 | 5e09b8b0ce | Command tasked to agent : Shell
20/07/2023 10:38:23 | Info | User | Fropops-4eaf0669-fbc3-466e-8b2d-32a744cd3d45 | 5e09b8b0ce | Command tasked to agent : Job
20/07/2023 10:38:40 | Info | User | Fropops-4eaf0669-fbc3-466e-8b2d-32a744cd3d45 | 5e09b8b0ce | Command tasked to agent : Job
20/07/2023 10:39:20 | Info | User | Fropops-4eaf0669-fbc3-466e-8b2d-32a744cd3d45 | 5e09b8b0ce | Command tasked to agent : Job
20/07/2023 10:40:41 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 |  | Connexion to TeamServer
20/07/2023 10:40:42 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 |  | Connexion to TeamServer
20/07/2023 10:40:50 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Shell
20/07/2023 10:40:55 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Job
20/07/2023 10:41:13 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Job
20/07/2023 10:41:34 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Job
20/07/2023 10:43:23 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Shell
20/07/2023 10:43:30 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Job
20/07/2023 10:43:52 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Shell
20/07/2023 10:44:01 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Job
20/07/2023 10:44:31 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Shell
20/07/2023 10:44:39 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Shell
20/07/2023 10:44:43 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Job
20/07/2023 10:44:57 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Shell
20/07/2023 10:45:43 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Shell
20/07/2023 10:45:45 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Job
20/07/2023 10:46:01 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Shell
20/07/2023 10:46:15 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Shell
20/07/2023 10:47:51 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Shell
20/07/2023 10:48:54 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Shell
20/07/2023 10:48:56 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Job
20/07/2023 10:49:15 | Info | User | Fropops-bf5b539d-67aa-406f-9159-31cbd6377904 | 38bcd96679 | Command tasked to agent : Shell
20/07/2023 10:52:40 | Info | User | Fropops-0b9b82cc-c5c4-40f5-aa95-71fb4d8b4084 |  | Connexion to TeamServer
20/07/2023 10:52:41 | Info | User | Fropops-0b9b82cc-c5c4-40f5-aa95-71fb4d8b4084 |  | Connexion to TeamServer
20/07/2023 10:52:51 | Info | User | Fropops-0b9b82cc-c5c4-40f5-aa95-71fb4d8b4084 | c32994cade | Command tasked to agent : Shell
20/07/2023 10:52:57 | Info | User | Fropops-0b9b82cc-c5c4-40f5-aa95-71fb4d8b4084 | c32994cade | Command tasked to agent : Job
20/07/2023 10:53:10 | Info | User | Fropops-0b9b82cc-c5c4-40f5-aa95-71fb4d8b4084 | c32994cade | Command tasked to agent : Job
20/07/2023 10:53:30 | Info | User | Fropops-0b9b82cc-c5c4-40f5-aa95-71fb4d8b4084 | c32994cade | Command tasked to agent : Job
20/07/2023 10:53:53 | Info | User | Fropops-0b9b82cc-c5c4-40f5-aa95-71fb4d8b4084 | c32994cade | Command tasked to agent : Job
20/07/2023 11:00:45 | Info | User | Fropops-d1199f8c-4eaa-4304-8608-bca229715d87 |  | Connexion to TeamServer
20/07/2023 11:00:46 | Info | User | Fropops-d1199f8c-4eaa-4304-8608-bca229715d87 |  | Connexion to TeamServer
20/07/2023 11:00:56 | Info | User | Fropops-d1199f8c-4eaa-4304-8608-bca229715d87 | 737842fe62 | Command tasked to agent : Shell
20/07/2023 11:05:33 | Info | User | Fropops-ad5eb60b-f6f1-49af-9677-16711d47cdfc |  | Connexion to TeamServer
20/07/2023 11:05:35 | Info | User | Fropops-ad5eb60b-f6f1-49af-9677-16711d47cdfc |  | Connexion to TeamServer
20/07/2023 11:05:48 | Info | User | Fropops-ad5eb60b-f6f1-49af-9677-16711d47cdfc | f8ff4f321d | Command tasked to agent : Shell
20/07/2023 11:07:58 | Info | User | Fropops-bfe6b28d-cdc3-4aaa-b9eb-e14d9ddf43b6 |  | Connexion to TeamServer
20/07/2023 11:07:59 | Info | User | Fropops-bfe6b28d-cdc3-4aaa-b9eb-e14d9ddf43b6 |  | Connexion to TeamServer
20/07/2023 11:08:03 | Info | User | Fropops-bfe6b28d-cdc3-4aaa-b9eb-e14d9ddf43b6 | 9b70c432f1 | Command tasked to agent : Shell
20/07/2023 11:10:25 | Info | User | Fropops-dda91a13-227a-48fa-bef6-2309faad086b |  | Connexion to TeamServer
20/07/2023 11:10:26 | Info | User | Fropops-dda91a13-227a-48fa-bef6-2309faad086b |  | Connexion to TeamServer
20/07/2023 11:10:52 | Info | User | Fropops-dda91a13-227a-48fa-bef6-2309faad086b | 2cc5ed7581 | Command tasked to agent : Shell
20/07/2023 11:12:10 | Info | User | Fropops-dda91a13-227a-48fa-bef6-2309faad086b |  | Exit TeamServer
