26/09/2023 02:02:00 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Whoami
26/09/2023 11:23:10 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | B8DA3AG6L0 | Command tasked to agent : Cd
26/09/2023 11:23:17 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | B8DA3AG6L0 | Command tasked to agent : Exit
26/09/2023 11:34:08 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G8FTNHXY38 | Command tasked to agent : Shell
26/09/2023 11:34:14 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G8FTNHXY38 | Command tasked to agent : Shell
26/09/2023 11:34:23 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G8FTNHXY38 | Command tasked to agent : Cat
26/09/2023 11:34:53 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G8FTNHXY38 | Command tasked to agent : Cat
26/09/2023 11:35:11 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G8FTNHXY38 | Command tasked to agent : Pwd
26/09/2023 11:35:33 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G8FTNHXY38 | Command tasked to agent : Exit
26/09/2023 11:41:41 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | CTUOUOFKX3 | Command tasked to agent : Pwd
26/09/2023 11:41:45 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | CTUOUOFKX3 | Command tasked to agent : Shell
26/09/2023 11:41:50 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | CTUOUOFKX3 | Command tasked to agent : Del
26/09/2023 11:41:53 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | CTUOUOFKX3 | Command tasked to agent : Shell
26/09/2023 11:42:57 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 |  | Exit TeamServer
26/09/2023 11:43:16 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca |  | Connexion to TeamServer
26/09/2023 11:43:17 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca |  | Connexion to TeamServer
26/09/2023 11:44:01 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | NXIOXR1INB | Command tasked to agent : Shell
26/09/2023 11:44:03 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | NXIOXR1INB | Command tasked to agent : MkDir
26/09/2023 11:44:08 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | NXIOXR1INB | Command tasked to agent : Shell
26/09/2023 11:44:21 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | NXIOXR1INB | Command tasked to agent : MkDir
26/09/2023 11:44:27 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | NXIOXR1INB | Command tasked to agent : Cd
26/09/2023 11:44:28 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | NXIOXR1INB | Command tasked to agent : Shell
26/09/2023 11:44:39 | Info | User | Fropops-aad90141-1775-4386-ba8e-5bb2cba5aeca | NXIOXR1INB | Command tasked to agent : Exit
