02/08/2023 08:23:11 | Info | User | Fropops-5acae1bd-3416-41e8-a6d7-d79919260b2a |  | Connexion to TeamServer
02/08/2023 08:35:21 | Info | User | Fropops-9c252b69-98b3-42c5-b8cd-03a5e105a254 |  | Connexion to TeamServer
02/08/2023 08:35:22 | Info | User | Fropops-9c252b69-98b3-42c5-b8cd-03a5e105a254 |  | Connexion to TeamServer
02/08/2023 08:35:42 | Info | User | Fropops-9c252b69-98b3-42c5-b8cd-03a5e105a254 | 40ce6fc94f | Command tasked to agent : Shell
02/08/2023 08:35:55 | Info | User | Fropops-9c252b69-98b3-42c5-b8cd-03a5e105a254 | 40ce6fc94f | Command tasked to agent : Proxy
02/08/2023 08:35:59 | Info | User | Fropops-9c252b69-98b3-42c5-b8cd-03a5e105a254 | 40ce6fc94f | Command tasked to agent : Proxy
02/08/2023 08:36:23 | Info | User | Fropops-9c252b69-98b3-42c5-b8cd-03a5e105a254 | 40ce6fc94f | Command tasked to agent : Exit
02/08/2023 09:44:27 | Info | User | Fropops-3484c49f-3596-4a59-9983-307583ebcc03 |  | Connexion to TeamServer
02/08/2023 09:44:28 | Info | User | Fropops-3484c49f-3596-4a59-9983-307583ebcc03 |  | Connexion to TeamServer
02/08/2023 09:44:52 | Info | User | Fropops-3484c49f-3596-4a59-9983-307583ebcc03 | ac618622e1 | Command tasked to agent : Shell
02/08/2023 09:45:41 | Info | User | Fropops-3484c49f-3596-4a59-9983-307583ebcc03 | ac618622e1 | Command tasked to agent : Shell
02/08/2023 09:48:54 | Info | User | Fropops-405dfedc-bbe6-42bb-961f-6bc258585626 |  | Connexion to TeamServer
02/08/2023 09:48:55 | Info | User | Fropops-405dfedc-bbe6-42bb-961f-6bc258585626 |  | Connexion to TeamServer
02/08/2023 09:49:12 | Info | User | Fropops-405dfedc-bbe6-42bb-961f-6bc258585626 | 9d0b3cdb58 | Command tasked to agent : Shell
02/08/2023 09:50:56 | Info | User | Fropops-44816be1-0a7b-4358-96a7-240b49f71958 |  | Connexion to TeamServer
02/08/2023 09:50:57 | Info | User | Fropops-44816be1-0a7b-4358-96a7-240b49f71958 |  | Connexion to TeamServer
02/08/2023 09:51:08 | Info | User | Fropops-44816be1-0a7b-4358-96a7-240b49f71958 | e40a6a7a82 | Command tasked to agent : Shell
02/08/2023 09:51:56 | Info | User | Fropops-44816be1-0a7b-4358-96a7-240b49f71958 | e40a6a7a82 | Command tasked to agent : Whoami
02/08/2023 09:52:23 | Info | User | Fropops-44816be1-0a7b-4358-96a7-240b49f71958 | e40a6a7a82 | Command tasked to agent : Proxy
02/08/2023 09:53:24 | Info | User | Fropops-44816be1-0a7b-4358-96a7-240b49f71958 | e40a6a7a82 | Command tasked to agent : Proxy
02/08/2023 09:54:40 | Info | User | Fropops-c79cc128-9d93-4fc8-ab33-d14270bbcb57 |  | Connexion to TeamServer
02/08/2023 09:54:41 | Info | User | Fropops-c79cc128-9d93-4fc8-ab33-d14270bbcb57 |  | Connexion to TeamServer
02/08/2023 09:55:30 | Info | User | Fropops-b783b81b-ff34-41d3-919d-7af9c95632fd |  | Connexion to TeamServer
02/08/2023 09:55:31 | Info | User | Fropops-b783b81b-ff34-41d3-919d-7af9c95632fd |  | Connexion to TeamServer
02/08/2023 09:55:57 | Info | User | Fropops-b783b81b-ff34-41d3-919d-7af9c95632fd | a1c0c05144 | Command tasked to agent : Proxy
02/08/2023 09:57:22 | Info | User | Fropops-ac6b6558-6f39-40da-a548-45fc933c00cc |  | Connexion to TeamServer
02/08/2023 09:57:23 | Info | User | Fropops-ac6b6558-6f39-40da-a548-45fc933c00cc |  | Connexion to TeamServer
02/08/2023 09:57:41 | Info | User | Fropops-ac6b6558-6f39-40da-a548-45fc933c00cc | 331f1f86a0 | Command tasked to agent : Proxy
02/08/2023 09:58:02 | Info | User | Fropops-ac6b6558-6f39-40da-a548-45fc933c00cc | 331f1f86a0 | Command tasked to agent : Proxy
02/08/2023 09:58:08 | Info | User | Fropops-ac6b6558-6f39-40da-a548-45fc933c00cc | 331f1f86a0 | Command tasked to agent : Proxy
02/08/2023 09:58:13 | Info | User | Fropops-ac6b6558-6f39-40da-a548-45fc933c00cc | 331f1f86a0 | Command tasked to agent : Proxy
02/08/2023 09:59:27 | Info | User | Fropops-ac6b6558-6f39-40da-a548-45fc933c00cc | 331f1f86a0 | Command tasked to agent : Exit
02/08/2023 09:59:28 | Info | User | Fropops-ac6b6558-6f39-40da-a548-45fc933c00cc |  | Exit TeamServer
02/08/2023 05:34:00 | Info | User | Fropops-96d8f349-222f-4743-a03e-6ba351b946e5 |  | Connexion to TeamServer
02/08/2023 05:34:01 | Info | User | Fropops-96d8f349-222f-4743-a03e-6ba351b946e5 |  | Connexion to TeamServer
02/08/2023 05:34:48 | Info | User | Fropops-96d8f349-222f-4743-a03e-6ba351b946e5 | 031688787f | Command tasked to agent : ListProcess
02/08/2023 05:35:30 | Info | User | Fropops-96d8f349-222f-4743-a03e-6ba351b946e5 | 031688787f | Command tasked to agent : ListProcess
02/08/2023 05:36:38 | Info | User | Fropops-96d8f349-222f-4743-a03e-6ba351b946e5 | 031688787f | Command tasked to agent : Proxy
02/08/2023 11:37:30 | Info | User | Fropops-4c1c757e-8b09-4405-9901-3a5282255afc |  | Connexion to TeamServer
02/08/2023 11:37:30 | Info | User | Fropops-4c1c757e-8b09-4405-9901-3a5282255afc |  | Connexion to TeamServer
02/08/2023 11:38:08 | Info | User | Fropops-156f1227-2d2e-4702-b3ad-b213ee93fbe9 |  | Connexion to TeamServer
02/08/2023 11:38:09 | Info | User | Fropops-156f1227-2d2e-4702-b3ad-b213ee93fbe9 |  | Connexion to TeamServer
02/08/2023 11:38:12 | Info | User | Fropops-156f1227-2d2e-4702-b3ad-b213ee93fbe9 | 4b0724240d | Command tasked to agent : ListProcess
02/08/2023 11:38:43 | Info | User | Fropops-156f1227-2d2e-4702-b3ad-b213ee93fbe9 | 4b0724240d | Command tasked to agent : ListProcess
02/08/2023 11:40:15 | Info | User | Fropops-e14a812a-4f81-4753-a039-245ab9f69683 |  | Connexion to TeamServer
02/08/2023 11:40:16 | Info | User | Fropops-e14a812a-4f81-4753-a039-245ab9f69683 |  | Connexion to TeamServer
02/08/2023 11:40:18 | Info | User | Fropops-e14a812a-4f81-4753-a039-245ab9f69683 | 463567b50b | Command tasked to agent : ListProcess
02/08/2023 11:40:51 | Info | User | Fropops-e14a812a-4f81-4753-a039-245ab9f69683 | 463567b50b | Command tasked to agent : ListProcess
02/08/2023 05:41:45 | Info | User | Fropops-96d8f349-222f-4743-a03e-6ba351b946e5 |  | Exit TeamServer
02/08/2023 05:42:19 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b |  | Connexion to TeamServer
02/08/2023 05:42:20 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b |  | Connexion to TeamServer
02/08/2023 05:42:48 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | 4b8f1d584a | Command tasked to agent : ListProcess
02/08/2023 05:44:50 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | 9ecce7a5b0 | Command tasked to agent : Proxy
02/08/2023 05:47:33 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b |  | Connexion to TeamServer
02/08/2023 05:47:39 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | 9ecce7a5b0 | Command tasked to agent : Proxy
02/08/2023 05:54:37 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | 9ecce7a5b0 | Command tasked to agent : Proxy
02/08/2023 05:55:00 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | 0be0f060ba | Command tasked to agent : Proxy
02/08/2023 06:01:10 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | 0be0f060ba | Command tasked to agent : Proxy
02/08/2023 06:01:18 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | 41eabd7ddd | Command tasked to agent : Proxy
02/08/2023 06:03:12 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | 41eabd7ddd | Command tasked to agent : Proxy
02/08/2023 06:03:18 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | 1858bb7a56 | Command tasked to agent : Proxy
02/08/2023 06:04:52 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | db34fc194b | Command tasked to agent : Proxy
02/08/2023 06:06:20 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | db34fc194b | Command tasked to agent : Proxy
02/08/2023 06:06:25 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | c8fc82d78e | Command tasked to agent : Proxy
02/08/2023 06:07:27 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | c8fc82d78e | Command tasked to agent : Proxy
02/08/2023 06:07:31 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | 72644cef16 | Command tasked to agent : Proxy
02/08/2023 06:08:16 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | 72644cef16 | Command tasked to agent : Proxy
02/08/2023 06:08:21 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | 79c9efd4f2 | Command tasked to agent : Proxy
02/08/2023 07:37:22 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b | 79c9efd4f2 | Command tasked to agent : Exit
02/08/2023 07:37:23 | Info | User | Fropops-a4d73cbb-6913-49b9-b3b9-783fd424094b |  | Exit TeamServer
02/08/2023 07:38:30 | Info | User | Fropops-8d0e4bf2-b4f8-4f52-a781-2c5a8f865aa2 |  | Connexion to TeamServer
02/08/2023 07:38:31 | Info | User | Fropops-8d0e4bf2-b4f8-4f52-a781-2c5a8f865aa2 |  | Connexion to TeamServer
02/08/2023 07:38:37 | Info | User | Fropops-8d0e4bf2-b4f8-4f52-a781-2c5a8f865aa2 | 012d1ebb88 | Command tasked to agent : CheckIn
02/08/2023 07:38:44 | Info | User | Fropops-8d0e4bf2-b4f8-4f52-a781-2c5a8f865aa2 | 012d1ebb88 | Command tasked to agent : CheckIn
02/08/2023 07:38:54 | Info | User | Fropops-8d0e4bf2-b4f8-4f52-a781-2c5a8f865aa2 | 012d1ebb88 | Command tasked to agent : Proxy
02/08/2023 07:42:22 | Info | User | Fropops-8d0e4bf2-b4f8-4f52-a781-2c5a8f865aa2 |  | Connexion to TeamServer
02/08/2023 07:42:28 | Info | User | Fropops-8d0e4bf2-b4f8-4f52-a781-2c5a8f865aa2 |  | Exit TeamServer
02/08/2023 07:42:38 | Info | User | Fropops-1b825e1d-de4e-471b-a169-c96c6e045d4e |  | Connexion to TeamServer
02/08/2023 07:42:40 | Info | User | Fropops-1b825e1d-de4e-471b-a169-c96c6e045d4e |  | Connexion to TeamServer
02/08/2023 07:42:51 | Info | User | Fropops-1b825e1d-de4e-471b-a169-c96c6e045d4e | 052d3d3f3d | Command tasked to agent : CheckIn
02/08/2023 07:43:26 | Info | User | Fropops-1b825e1d-de4e-471b-a169-c96c6e045d4e | 052d3d3f3d | Command tasked to agent : Proxy
02/08/2023 08:09:36 | Info | User | Fropops-1b825e1d-de4e-471b-a169-c96c6e045d4e |  | Exit TeamServer
02/08/2023 08:10:19 | Info | User | Fropops-bee26c70-58aa-4b26-96e1-369b8d943459 |  | Connexion to TeamServer
02/08/2023 08:10:20 | Info | User | Fropops-bee26c70-58aa-4b26-96e1-369b8d943459 |  | Connexion to TeamServer
02/08/2023 08:10:42 | Info | User | Fropops-bee26c70-58aa-4b26-96e1-369b8d943459 | a33e94b353 | Command tasked to agent : Proxy
02/08/2023 08:13:31 | Info | User | Fropops-bee26c70-58aa-4b26-96e1-369b8d943459 | a33e94b353 | Command tasked to agent : Proxy
02/08/2023 08:14:03 | Info | User | Fropops-bee26c70-58aa-4b26-96e1-369b8d943459 | 0cefe748a0 | Command tasked to agent : Proxy
02/08/2023 08:25:19 | Info | User | Fropops-bee26c70-58aa-4b26-96e1-369b8d943459 |  | Exit TeamServer
02/08/2023 08:25:43 | Info | User | Fropops-4bc6fe16-69ef-4506-863b-71068ba946a2 |  | Connexion to TeamServer
02/08/2023 08:25:44 | Info | User | Fropops-4bc6fe16-69ef-4506-863b-71068ba946a2 |  | Connexion to TeamServer
02/08/2023 14:38:54 | Info | User | Fropops-cf17bb2a-8c17-47cc-a6eb-790b3526bbf1 |  | Connexion to TeamServer
02/08/2023 14:38:55 | Info | User | Fropops-cf17bb2a-8c17-47cc-a6eb-790b3526bbf1 |  | Connexion to TeamServer
02/08/2023 14:40:16 | Info | User | Fropops-8a62e538-6ffc-4ab5-93bd-7ba66505d8e4 |  | Connexion to TeamServer
02/08/2023 14:40:17 | Info | User | Fropops-8a62e538-6ffc-4ab5-93bd-7ba66505d8e4 |  | Connexion to TeamServer
02/08/2023 14:55:36 | Info | User | Fropops-d2318e1a-86f9-4ef9-8307-db7f540ede80 |  | Connexion to TeamServer
02/08/2023 14:55:37 | Info | User | Fropops-d2318e1a-86f9-4ef9-8307-db7f540ede80 |  | Connexion to TeamServer
02/08/2023 08:57:18 | Info | User | Fropops-4bc6fe16-69ef-4506-863b-71068ba946a2 |  | Exit TeamServer
02/08/2023 08:58:15 | Info | User | Fropops-f313075a-7fba-4644-881d-e99f0a039b76 |  | Connexion to TeamServer
02/08/2023 08:58:16 | Info | User | Fropops-f313075a-7fba-4644-881d-e99f0a039b76 |  | Connexion to TeamServer
02/08/2023 09:03:28 | Info | User | Fropops-f313075a-7fba-4644-881d-e99f0a039b76 | 72a873a330 | Command tasked to agent : Link
02/08/2023 09:03:36 | Info | User | Fropops-f313075a-7fba-4644-881d-e99f0a039b76 | 72a873a330 | Command tasked to agent : Link
