17/08/2023 08:48:31 | Info | User | Fropops-12b2f931-b584-4f47-ba64-50485649d437 |  | Connexion to TeamServer
17/08/2023 09:10:03 | Info | User | Fropops-9d7540a8-d8e4-4c1e-971d-ce15af4c38f1 |  | Connexion to TeamServer
17/08/2023 09:10:04 | Info | User | Fropops-9d7540a8-d8e4-4c1e-971d-ce15af4c38f1 |  | Connexion to TeamServer
17/08/2023 09:10:27 | Info | User | Fropops-9d7540a8-d8e4-4c1e-971d-ce15af4c38f1 | b5f6ee516f | Command tasked to agent : Link
17/08/2023 09:11:28 | Info | User | Fropops-9d7540a8-d8e4-4c1e-971d-ce15af4c38f1 | b5f6ee516f | Command tasked to agent : Link
17/08/2023 09:20:14 | Info | User | Fropops-4b5008fb-3983-48d1-8f15-57b679226eb3 |  | Connexion to TeamServer
17/08/2023 09:20:15 | Info | User | Fropops-4b5008fb-3983-48d1-8f15-57b679226eb3 |  | Connexion to TeamServer
17/08/2023 09:20:41 | Info | User | Fropops-4b5008fb-3983-48d1-8f15-57b679226eb3 | 8b886172cf | Command tasked to agent : Link
17/08/2023 09:20:57 | Info | User | Fropops-4b5008fb-3983-48d1-8f15-57b679226eb3 | 8b886172cf | Command tasked to agent : Link
17/08/2023 09:21:14 | Info | User | Fropops-4b5008fb-3983-48d1-8f15-57b679226eb3 | 8b886172cf | Command tasked to agent : Link
17/08/2023 09:22:22 | Info | User | Fropops-4b5008fb-3983-48d1-8f15-57b679226eb3 | 5c37c6e82a | Command tasked to agent : Link
17/08/2023 09:22:29 | Info | User | Fropops-4b5008fb-3983-48d1-8f15-57b679226eb3 | 5c37c6e82a | Command tasked to agent : Link
17/08/2023 09:22:38 | Info | User | Fropops-4b5008fb-3983-48d1-8f15-57b679226eb3 | 5c37c6e82a | Command tasked to agent : Link
17/08/2023 09:22:46 | Info | User | Fropops-4b5008fb-3983-48d1-8f15-57b679226eb3 | 5c37c6e82a | Command tasked to agent : Link
17/08/2023 09:23:10 | Info | User | Fropops-4b5008fb-3983-48d1-8f15-57b679226eb3 | 5c37c6e82a | Command tasked to agent : Link
17/08/2023 09:24:14 | Info | User | Fropops-4e773346-c3bf-48e6-8827-48ac1d03561d |  | Connexion to TeamServer
17/08/2023 09:24:16 | Info | User | Fropops-4e773346-c3bf-48e6-8827-48ac1d03561d |  | Connexion to TeamServer
17/08/2023 09:24:45 | Info | User | Fropops-4e773346-c3bf-48e6-8827-48ac1d03561d | 47b166e3b9 | Command tasked to agent : Link
17/08/2023 09:25:08 | Info | User | Fropops-4e773346-c3bf-48e6-8827-48ac1d03561d | 47b166e3b9 | Command tasked to agent : Link
17/08/2023 09:25:26 | Info | User | Fropops-4e773346-c3bf-48e6-8827-48ac1d03561d | 47b166e3b9 | Command tasked to agent : Link
17/08/2023 09:25:36 | Info | User | Fropops-4e773346-c3bf-48e6-8827-48ac1d03561d | a576d8a2a2 | Command tasked to agent : Exit
17/08/2023 09:27:16 | Info | User | Fropops-e3f6691e-4484-4059-be07-2992ef1723ce |  | Connexion to TeamServer
17/08/2023 09:27:17 | Info | User | Fropops-e3f6691e-4484-4059-be07-2992ef1723ce |  | Connexion to TeamServer
17/08/2023 09:27:56 | Info | User | Fropops-e3f6691e-4484-4059-be07-2992ef1723ce | 31440748d6 | Command tasked to agent : Link
17/08/2023 09:28:07 | Info | User | Fropops-e3f6691e-4484-4059-be07-2992ef1723ce | ea04dda51c | Command tasked to agent : Exit
17/08/2023 09:28:20 | Info | User | Fropops-e3f6691e-4484-4059-be07-2992ef1723ce | 31440748d6 | Command tasked to agent : Link
17/08/2023 09:29:41 | Info | User | Fropops-8f5cfdad-5496-44ac-a225-2dc3d7194e49 |  | Connexion to TeamServer
17/08/2023 09:29:42 | Info | User | Fropops-8f5cfdad-5496-44ac-a225-2dc3d7194e49 |  | Connexion to TeamServer
17/08/2023 09:30:01 | Info | User | Fropops-8f5cfdad-5496-44ac-a225-2dc3d7194e49 | 2882bb4bc6 | Command tasked to agent : Link
17/08/2023 09:30:08 | Info | User | Fropops-8f5cfdad-5496-44ac-a225-2dc3d7194e49 | 2882bb4bc6 | Command tasked to agent : Link
17/08/2023 09:30:38 | Info | User | Fropops-4aa472e4-1f05-42db-b03d-cbbb907816d7 |  | Connexion to TeamServer
17/08/2023 09:30:39 | Info | User | Fropops-4aa472e4-1f05-42db-b03d-cbbb907816d7 |  | Connexion to TeamServer
17/08/2023 09:30:53 | Info | User | Fropops-4aa472e4-1f05-42db-b03d-cbbb907816d7 | 2882bb4bc6 | Command tasked to agent : CheckIn
17/08/2023 09:31:17 | Info | User | Fropops-4aa472e4-1f05-42db-b03d-cbbb907816d7 | 2882bb4bc6 | Command tasked to agent : Exit
17/08/2023 09:31:29 | Info | User | Fropops-4aa472e4-1f05-42db-b03d-cbbb907816d7 |  | Exit TeamServer
17/08/2023 03:40:26 | Info | User | Fropops-02fac2ee-9b34-4c31-8e1f-f1e2a0767acb |  | Exit TeamServer
17/08/2023 03:41:45 | Info | User | Fropops-dc0913e2-02eb-4256-bed7-13dcdce10748 |  | Connexion to TeamServer
17/08/2023 03:41:46 | Info | User | Fropops-dc0913e2-02eb-4256-bed7-13dcdce10748 |  | Connexion to TeamServer
17/08/2023 03:44:35 | Info | User | Fropops-dc0913e2-02eb-4256-bed7-13dcdce10748 | 750df26801 | Command tasked to agent : Sleep
17/08/2023 03:49:02 | Info | User | Fropops-5c7bd3b4-bda0-45cd-9f7e-729922886cb8 |  | Connexion to TeamServer
17/08/2023 03:49:03 | Info | User | Fropops-5c7bd3b4-bda0-45cd-9f7e-729922886cb8 |  | Connexion to TeamServer
17/08/2023 03:49:46 | Info | User | Fropops-5c7bd3b4-bda0-45cd-9f7e-729922886cb8 | 5c94a0e547 | Command tasked to agent : Sleep
17/08/2023 03:52:19 | Info | User | Fropops-5c7bd3b4-bda0-45cd-9f7e-729922886cb8 | 5c94a0e547 | Command tasked to agent : RportFwd
17/08/2023 03:53:00 | Info | User | Fropops-5c7bd3b4-bda0-45cd-9f7e-729922886cb8 | 5c94a0e547 | Command tasked to agent : RportFwd
17/08/2023 03:58:48 | Info | User | Fropops-5c7bd3b4-bda0-45cd-9f7e-729922886cb8 | 13bd5edacc | Command tasked to agent : RportFwd
17/08/2023 03:58:55 | Info | User | Fropops-5c7bd3b4-bda0-45cd-9f7e-729922886cb8 | 13bd5edacc | Command tasked to agent : Sleep
17/08/2023 04:13:22 | Info | User | Fropops-5c7bd3b4-bda0-45cd-9f7e-729922886cb8 | 678889c05e | Command tasked to agent : RportFwd
17/08/2023 04:13:27 | Info | User | Fropops-5c7bd3b4-bda0-45cd-9f7e-729922886cb8 | 678889c05e | Command tasked to agent : Sleep
17/08/2023 04:13:47 | Info | User | Fropops-5c7bd3b4-bda0-45cd-9f7e-729922886cb8 | 41a2e1ceab | Command tasked to agent : Shell
17/08/2023 11:07:32 | Info | User | Fropops-6297d9a7-9164-4b7f-97b0-deb88a1ecafb |  | Connexion to TeamServer
17/08/2023 11:07:33 | Info | User | Fropops-6297d9a7-9164-4b7f-97b0-deb88a1ecafb |  | Connexion to TeamServer
17/08/2023 11:07:41 | Info | User | Fropops-6297d9a7-9164-4b7f-97b0-deb88a1ecafb | 9ca7e1db09 | Command tasked to agent : KeyLog
17/08/2023 11:07:53 | Info | User | Fropops-6297d9a7-9164-4b7f-97b0-deb88a1ecafb | 9ca7e1db09 | Command tasked to agent : KeyLog
17/08/2023 11:08:04 | Info | User | Fropops-6297d9a7-9164-4b7f-97b0-deb88a1ecafb | 9ca7e1db09 | Command tasked to agent : KeyLog
17/08/2023 11:08:20 | Info | User | Fropops-6297d9a7-9164-4b7f-97b0-deb88a1ecafb | 9ca7e1db09 | Command tasked to agent : KeyLog
