24/08/2023 02:12:11 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 50c7297b80 | Command tasked to agent : Cd
24/08/2023 03:09:01 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
24/08/2023 03:09:46 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
24/08/2023 03:12:16 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
24/08/2023 03:12:37 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
24/08/2023 03:13:19 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
24/08/2023 03:16:25 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Assembly
24/08/2023 03:24:10 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Assembly
24/08/2023 03:24:24 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : StealToken
24/08/2023 03:24:44 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Script
24/08/2023 03:25:13 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Assembly
24/08/2023 03:29:06 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Assembly
24/08/2023 03:30:49 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Assembly
24/08/2023 03:31:03 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : StealToken
24/08/2023 03:31:09 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Assembly
24/08/2023 03:31:31 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Ls
24/08/2023 03:31:59 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Script
24/08/2023 03:32:41 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Link
24/08/2023 03:33:21 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 03:41:37 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : ForkAndRun
24/08/2023 03:43:08 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : ForkAndRun
24/08/2023 03:44:13 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Cd
24/08/2023 03:44:15 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Ls
24/08/2023 03:44:26 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Cd
24/08/2023 03:44:31 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Cd
24/08/2023 03:44:33 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Ls
24/08/2023 03:44:40 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Cat
24/08/2023 03:46:46 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 3f0e21c2fa | Command tasked to agent : Shell
24/08/2023 03:46:58 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 3f0e21c2fa | Command tasked to agent : ListProcess
24/08/2023 03:50:05 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 3f0e21c2fa | Command tasked to agent : Cd
24/08/2023 03:50:08 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 3f0e21c2fa | Command tasked to agent : Shell
24/08/2023 03:50:16 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 3f0e21c2fa | Command tasked to agent : Ls
24/08/2023 03:50:38 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 3f0e21c2fa | Command tasked to agent : Cd
24/08/2023 03:50:41 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 3f0e21c2fa | Command tasked to agent : Cd
24/08/2023 03:50:45 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 3f0e21c2fa | Command tasked to agent : Ls
24/08/2023 03:50:56 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 3f0e21c2fa | Command tasked to agent : Cat
24/08/2023 04:25:45 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 3f0e21c2fa | Command tasked to agent : Shell
24/08/2023 04:26:07 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 3f0e21c2fa | Command tasked to agent : Cd
24/08/2023 04:26:16 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 3f0e21c2fa | Command tasked to agent : Cd
24/08/2023 04:26:24 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 3f0e21c2fa | Command tasked to agent : Ls
24/08/2023 04:31:56 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : PowershellImport
24/08/2023 04:32:15 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Powershell
24/08/2023 04:32:31 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Powershell
24/08/2023 04:33:27 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Powershell
24/08/2023 04:34:21 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Powershell
24/08/2023 04:47:22 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Powershell
24/08/2023 04:47:41 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Powershell
24/08/2023 04:47:55 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Powershell
24/08/2023 04:48:39 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 04:48:44 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 05:16:03 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 05:18:54 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 05:19:21 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 05:20:09 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 05:22:50 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 05:23:03 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 05:25:19 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Powershell
24/08/2023 05:25:36 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 05:26:58 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 05:28:37 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 05:30:26 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 05:33:53 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Shell
24/08/2023 06:03:56 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Powershell
24/08/2023 06:04:58 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Pwd
24/08/2023 06:05:45 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Assembly
24/08/2023 06:06:48 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Ls
24/08/2023 06:07:01 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Download
24/08/2023 06:07:13 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Del
24/08/2023 06:07:15 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 36a85a2b2f | Command tasked to agent : Ls
