23/08/2023 05:56:32 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b |  | Web hosting jmp - Payload PowerShell x64 https://192.168.110.51:8000
23/08/2023 08:09:25 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : ListProcess
23/08/2023 08:10:15 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : Inject
23/08/2023 08:10:31 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 0291b6fe8d | Command tasked to agent : ListProcess
23/08/2023 08:11:02 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Whoami
23/08/2023 08:11:47 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : ForkAndRun
23/08/2023 08:12:20 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 08:53:04 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : ForkAndRun
23/08/2023 08:53:38 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Job
23/08/2023 08:53:49 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Assembly
23/08/2023 08:54:03 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Assembly
23/08/2023 08:54:26 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Job
23/08/2023 08:55:08 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Ls
23/08/2023 08:56:14 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Download
23/08/2023 08:56:26 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Del
23/08/2023 09:23:34 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Assembly
23/08/2023 09:23:54 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Pwd
23/08/2023 09:24:02 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 09:24:09 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Assembly
23/08/2023 09:24:16 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Ls
23/08/2023 09:25:08 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Assembly
23/08/2023 09:26:33 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b |  | Web hosting exe - Payload Executable x64 https://192.168.110.51:8000
23/08/2023 09:26:57 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Upload
23/08/2023 09:27:04 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Ls
23/08/2023 09:27:54 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : StartAs
23/08/2023 09:28:23 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : StartAs
23/08/2023 09:28:32 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : StartAs
23/08/2023 09:29:01 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : StartAs
23/08/2023 10:21:49 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 10:22:33 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : PowershellImport
23/08/2023 10:22:45 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:23:53 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:24:13 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:24:40 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:24:57 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:25:36 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:25:40 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:26:11 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:26:37 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 10:27:18 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 10:27:53 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:28:15 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:28:32 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:28:47 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:28:58 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:29:53 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:31:00 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 10:31:17 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 10:32:25 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:32:44 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 10:33:31 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 11:00:03 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Script
23/08/2023 11:01:29 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 11:04:02 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : ForkAndRun
23/08/2023 11:04:49 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : ListProcess
23/08/2023 11:06:39 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Ls
23/08/2023 11:06:51 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 11:06:52 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Ls
23/08/2023 11:07:01 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 11:07:04 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Ls
23/08/2023 11:07:11 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 11:07:16 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Ls
23/08/2023 11:07:35 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 11:08:01 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 11:08:31 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 11:08:36 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 11:09:04 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : ForkAndRun
23/08/2023 11:12:12 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Ls
23/08/2023 11:12:28 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 11:12:34 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Ls
23/08/2023 11:12:43 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 11:12:47 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Ls
23/08/2023 11:19:30 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 11:19:39 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 11:20:36 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 11:20:54 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 11:24:35 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 11:24:40 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 11:30:35 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Pwd
23/08/2023 11:30:43 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Cd
23/08/2023 11:30:51 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Ls
23/08/2023 11:31:19 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Cd
23/08/2023 11:31:20 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Ls
23/08/2023 11:33:04 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Cd
23/08/2023 11:33:07 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Ls
23/08/2023 11:33:15 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Cd
23/08/2023 11:33:18 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Cd
23/08/2023 11:33:19 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Ls
23/08/2023 11:33:27 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Cd
23/08/2023 11:33:33 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Cd
23/08/2023 11:33:34 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Ls
23/08/2023 11:33:41 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Cat
23/08/2023 11:35:18 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Ls
23/08/2023 11:35:25 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 11:35:27 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 11:35:36 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 11:35:46 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 11:35:48 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 11:35:54 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Ls
23/08/2023 11:35:57 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cat
23/08/2023 11:36:38 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : ForkAndRun
23/08/2023 11:42:21 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Shell
23/08/2023 11:46:23 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : ListProcess
23/08/2023 11:47:44 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : ForkAndRun
23/08/2023 11:48:18 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Assembly
23/08/2023 11:48:41 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Shell
23/08/2023 12:18:03 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Powershell
23/08/2023 12:18:15 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 12:21:57 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Assembly
23/08/2023 12:22:01 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Job
23/08/2023 12:22:06 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Job
23/08/2023 12:35:05 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Assembly
23/08/2023 12:35:26 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Assembly
23/08/2023 12:37:15 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Powershell
23/08/2023 12:42:40 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Assembly
23/08/2023 12:43:21 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 12:47:25 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Assembly
23/08/2023 12:53:11 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 891a4781da | Command tasked to agent : Assembly
23/08/2023 12:55:46 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Assembly
23/08/2023 12:56:31 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Pwd
23/08/2023 12:56:37 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 12:56:43 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 12:56:50 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Cd
23/08/2023 12:56:53 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Assembly
23/08/2023 15:46:35 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 15:46:41 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 15:47:44 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 15:48:18 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 15:48:30 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 15:48:36 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 15:50:22 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
23/08/2023 15:50:33 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 330674f4cb | Command tasked to agent : Shell
