18/07/2023 07:56:08 | Info | User | Fropops-44264ffa-8a27-4f96-a95b-cac1a5f3eb52 |  | Connexion to TeamServer
18/07/2023 17:47:25 | Info | User | Fropops-12a2e8a1-68e6-4f54-9139-ef7034386ca1 |  | Connexion to TeamServer
18/07/2023 17:47:25 | Info | User | Fropops-12a2e8a1-68e6-4f54-9139-ef7034386ca1 |  | Connexion to TeamServer
18/07/2023 17:47:31 | Info | User | Fropops-12a2e8a1-68e6-4f54-9139-ef7034386ca1 | dfe6597a94 | Command tasked to agent : Cd
18/07/2023 17:48:04 | Info | User | Fropops-12a2e8a1-68e6-4f54-9139-ef7034386ca1 | dfe6597a94 | Command tasked to agent : Cd
18/07/2023 17:48:38 | Info | User | Fropops-88992a19-144a-4c52-a683-8b83266542b1 |  | Connexion to TeamServer
18/07/2023 17:48:39 | Info | User | Fropops-88992a19-144a-4c52-a683-8b83266542b1 |  | Connexion to TeamServer
18/07/2023 17:48:46 | Info | User | Fropops-88992a19-144a-4c52-a683-8b83266542b1 | ab9dc182e4 | Command tasked to agent : Cd
18/07/2023 17:49:50 | Info | User | Fropops-cfaeef27-51d1-41fd-bd72-c5fb76d171bc |  | Connexion to TeamServer
18/07/2023 17:49:51 | Info | User | Fropops-cfaeef27-51d1-41fd-bd72-c5fb76d171bc |  | Connexion to TeamServer
18/07/2023 17:49:59 | Info | User | Fropops-cfaeef27-51d1-41fd-bd72-c5fb76d171bc | 479585022d | Command tasked to agent : Ls
18/07/2023 17:51:38 | Info | User | Fropops-a32eb1a8-63cf-486d-862e-7c790d4166ef |  | Connexion to TeamServer
18/07/2023 17:51:39 | Info | User | Fropops-a32eb1a8-63cf-486d-862e-7c790d4166ef |  | Connexion to TeamServer
18/07/2023 17:51:45 | Info | User | Fropops-a32eb1a8-63cf-486d-862e-7c790d4166ef | ec231f745e | Command tasked to agent : Ls
18/07/2023 17:52:07 | Info | User | Fropops-a32eb1a8-63cf-486d-862e-7c790d4166ef | ec231f745e | Command tasked to agent : Ls
18/07/2023 17:52:18 | Info | User | Fropops-6114db37-dc97-448e-9bd2-edd60351be8b |  | Connexion to TeamServer
18/07/2023 17:52:19 | Info | User | Fropops-6114db37-dc97-448e-9bd2-edd60351be8b |  | Connexion to TeamServer
18/07/2023 17:52:21 | Info | User | Fropops-6114db37-dc97-448e-9bd2-edd60351be8b | ec231f745e | Command tasked to agent : Ls
18/07/2023 17:53:05 | Info | User | Fropops-6114db37-dc97-448e-9bd2-edd60351be8b | ec231f745e | Command tasked to agent : Ls
18/07/2023 17:55:05 | Info | User | Fropops-a264d5d0-0dc6-40e8-9ed2-50895df2bb9b |  | Connexion to TeamServer
18/07/2023 17:55:07 | Info | User | Fropops-a264d5d0-0dc6-40e8-9ed2-50895df2bb9b |  | Connexion to TeamServer
18/07/2023 17:55:12 | Info | User | Fropops-a264d5d0-0dc6-40e8-9ed2-50895df2bb9b | ea7340c031 | Command tasked to agent : Ls
18/07/2023 17:55:48 | Info | User | Fropops-1b98ff9b-9191-458f-83aa-548667748f15 |  | Connexion to TeamServer
18/07/2023 17:55:49 | Info | User | Fropops-1b98ff9b-9191-458f-83aa-548667748f15 |  | Connexion to TeamServer
18/07/2023 17:55:58 | Info | User | Fropops-1b98ff9b-9191-458f-83aa-548667748f15 | 1336a3d769 | Command tasked to agent : Ls
18/07/2023 17:56:51 | Info | User | Fropops-9f059b64-eeca-4290-b086-af0f56d61df8 |  | Connexion to TeamServer
18/07/2023 17:56:52 | Info | User | Fropops-9f059b64-eeca-4290-b086-af0f56d61df8 |  | Connexion to TeamServer
18/07/2023 17:56:54 | Info | User | Fropops-9f059b64-eeca-4290-b086-af0f56d61df8 | 0757c96629 | Command tasked to agent : Ls
18/07/2023 17:57:03 | Info | User | Fropops-9f059b64-eeca-4290-b086-af0f56d61df8 | 0757c96629 | Command tasked to agent : Exit
18/07/2023 17:57:06 | Info | User | Fropops-9f059b64-eeca-4290-b086-af0f56d61df8 |  | Exit TeamServer
