09/08/2023 02:41:47 | Info | User | Fropops-fdba7bec-b489-494b-89a6-8c531c804d1a |  | Connexion to TeamServer
09/08/2023 04:03:52 | Info | User | Fropops-3344dc59-bfe5-44ae-9d3b-00dde1ffeb1d | cc5e4aa911 | Command tasked to agent : RportFwd
09/08/2023 04:05:06 | Info | User | Fropops-3344dc59-bfe5-44ae-9d3b-00dde1ffeb1d |  | Web hosting p - Payload PowerShell x64 pipe://127.0.0.1:C3PO
09/08/2023 04:07:10 | Info | User | Fropops-3344dc59-bfe5-44ae-9d3b-00dde1ffeb1d | cc5e4aa911 | Command tasked to agent : Link
09/08/2023 04:07:38 | Info | User | Fropops-3344dc59-bfe5-44ae-9d3b-00dde1ffeb1d | cc5e4aa911 | Command tasked to agent : Link
09/08/2023 04:08:25 | Info | User | Fropops-3344dc59-bfe5-44ae-9d3b-00dde1ffeb1d | cc5e4aa911 | Command tasked to agent : RportFwd
09/08/2023 04:08:50 | Info | User | Fropops-3344dc59-bfe5-44ae-9d3b-00dde1ffeb1d | cc5e4aa911 | Command tasked to agent : RportFwd
09/08/2023 04:12:08 | Info | User | Fropops-3344dc59-bfe5-44ae-9d3b-00dde1ffeb1d | cc5e4aa911 | Command tasked to agent : Link
09/08/2023 04:13:01 | Info | User | Fropops-3344dc59-bfe5-44ae-9d3b-00dde1ffeb1d | cc5e4aa911 | Command tasked to agent : Link
09/08/2023 04:18:01 | Info | User | Fropops-3344dc59-bfe5-44ae-9d3b-00dde1ffeb1d | 417f578b15 | Command tasked to agent : Link
09/08/2023 04:18:28 | Info | User | Fropops-3344dc59-bfe5-44ae-9d3b-00dde1ffeb1d | 417f578b15 | Command tasked to agent : Link
09/08/2023 04:18:42 | Info | User | Fropops-3344dc59-bfe5-44ae-9d3b-00dde1ffeb1d | cc5e4aa911 | Command tasked to agent : Link
09/08/2023 04:19:46 | Info | User | Fropops-3344dc59-bfe5-44ae-9d3b-00dde1ffeb1d |  | Exit TeamServer
09/08/2023 04:20:02 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce |  | Connexion to TeamServer
09/08/2023 04:20:03 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce |  | Connexion to TeamServer
09/08/2023 04:20:19 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | 21d36f2354 | Command tasked to agent : Exit
09/08/2023 04:20:36 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | cc5e4aa911 | Command tasked to agent : Sleep
09/08/2023 04:21:13 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | cc5e4aa911 | Command tasked to agent : RportFwd
09/08/2023 04:22:07 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | cc5e4aa911 | Command tasked to agent : RportFwd
09/08/2023 04:25:02 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | cc5e4aa911 | Command tasked to agent : RportFwd
09/08/2023 04:28:04 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | cc5e4aa911 | Command tasked to agent : Link
09/08/2023 04:30:49 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | 0dc4bc77b5 | Command tasked to agent : Exit
09/08/2023 04:33:27 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce |  | Web hosting r - Payload PowerShell x64 http://127.0.0.1:8080
09/08/2023 04:33:59 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | ef8a78e3c5 | Command tasked to agent : CheckIn
09/08/2023 04:35:05 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | ef8a78e3c5 | Command tasked to agent : Exit
09/08/2023 04:35:10 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | cc5e4aa911 | Command tasked to agent : Exit
09/08/2023 04:42:31 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | 49ac457598 | Command tasked to agent : Sleep
09/08/2023 04:44:21 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | 49ac457598 | Command tasked to agent : RportFwd
09/08/2023 04:44:28 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | 49ac457598 | Command tasked to agent : RportFwd
09/08/2023 04:48:33 | Info | User | Fropops-330f6509-8622-46b5-9a98-e86c467696ce | 49ac457598 | Command tasked to agent : Exit
