04/08/2023 05:02:59 | Info | User | Fropops-7ca641ed-a544-4867-850b-196cc0cfed73 |  | Connexion to TeamServer
04/08/2023 05:57:06 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | e415556807 | Command tasked to agent : RportFwd
04/08/2023 05:59:11 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | f4ef53fe85 | Command tasked to agent : Sleep
04/08/2023 05:59:15 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | f4ef53fe85 | Command tasked to agent : RportFwd
04/08/2023 05:59:20 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | f4ef53fe85 | Command tasked to agent : RportFwd
04/08/2023 05:59:24 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | f4ef53fe85 | Command tasked to agent : RportFwd
04/08/2023 06:00:23 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | f4ef53fe85 | Command tasked to agent : RportFwd
04/08/2023 06:00:27 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | f4ef53fe85 | Command tasked to agent : RportFwd
04/08/2023 06:00:39 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | f4ef53fe85 | Command tasked to agent : RportFwd
04/08/2023 06:00:58 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | f4ef53fe85 | Command tasked to agent : RportFwd
04/08/2023 06:01:06 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | f4ef53fe85 | Command tasked to agent : RportFwd
04/08/2023 06:01:09 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | f4ef53fe85 | Command tasked to agent : RportFwd
04/08/2023 06:02:39 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | 2e0f54b332 | Command tasked to agent : Sleep
04/08/2023 06:02:43 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | 2e0f54b332 | Command tasked to agent : RportFwd
04/08/2023 06:03:19 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | 2a19dffb99 | Command tasked to agent : Sleep
04/08/2023 06:03:26 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | 2a19dffb99 | Command tasked to agent : RportFwd
04/08/2023 06:03:49 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | 2a19dffb99 | Command tasked to agent : RportFwd
04/08/2023 06:05:11 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | cc3c6bb660 | Command tasked to agent : Sleep
04/08/2023 06:05:14 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | cc3c6bb660 | Command tasked to agent : RportFwd
04/08/2023 06:05:20 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | cc3c6bb660 | Command tasked to agent : RportFwd
04/08/2023 06:05:31 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | cc3c6bb660 | Command tasked to agent : RportFwd
04/08/2023 06:06:10 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | cc3c6bb660 | Command tasked to agent : RportFwd
04/08/2023 06:06:38 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | cc3c6bb660 | Command tasked to agent : RportFwd
04/08/2023 06:06:43 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | cc3c6bb660 | Command tasked to agent : RportFwd
04/08/2023 06:06:46 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | cc3c6bb660 | Command tasked to agent : RportFwd
04/08/2023 06:06:50 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | cc3c6bb660 | Command tasked to agent : Exit
04/08/2023 07:42:19 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | d026116ac3 | Command tasked to agent : Sleep
04/08/2023 07:43:04 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | d026116ac3 | Command tasked to agent : Link
04/08/2023 07:46:22 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | 4120cb1525 | Command tasked to agent : RportFwd
04/08/2023 07:46:59 | Info | User | Fropops-b99023ee-c2ae-4435-94a1-de7349fd1c59 | 4120cb1525 | Command tasked to agent : RportFwd
